county_id,county_desc,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
1,ALAMANCE,Democrat,130044,43958,0.20637630340500138,0.46683197597706905,0.6548245209313771,0.39783429637381135,0.34517547906862295,0.6021657036261886,52.17274153363477,54.590017744210385,0.3351019654886039,0.28544905280382654,0.006576877084775631,0.16977154005916043,0.46985335766882746
1,ALAMANCE,Republican,130044,41669,0.20637630340500138,0.015311142576015744,0.6548245209313771,0.9081331445439056,0.34517547906862295,0.09186685545609447,52.17274153363477,56.019558904701334,0.3351019654886039,0.26424501424501423,0.005050505050505051,0.14652939652939653,0.41893291893291895
2,ALEXANDER,Democrat,28687,5183,0.03956495973786035,0.1522284391279182,0.8806776588698714,0.7788925332818831,0.11932234113012863,0.22110746671811693,54.51699376023983,62.599266833879994,0.3352738174085823,0.22235576923076922,0.004261363636363636,0.19154283216783216,0.4266826923076923
2,ALEXANDER,Republican,28687,13743,0.03956495973786035,0.0032016299206868953,0.8806776588698714,0.9350214654733319,0.11932234113012863,0.06497853452666812,54.51699376023983,55.45695990686168,0.3352738174085823,0.26694103055586876,0.0024805502311421807,0.24495433532529035,0.5228323373548315
3,ALLEGHANY,Democrat,9271,2234,0.009384100959982742,0.02730528200537153,0.8950490777693885,0.9100268576544315,0.10495092223061159,0.08997314234556848,58.94962787185848,66.98567591763653,0.33836695070650413,0.24488338886244645,0.010947168015230843,0.24012375059495478,0.5023798191337459
3,ALLEGHANY,Republican,9271,3843,0.009384100959982742,0.0010408534998698933,0.8950490777693885,0.9188134270101483,0.10495092223061159,0.08118657298985169,58.94962787185848,59.14519906323185,0.33836695070650413,0.2548865276138003,0.009707464252918798,0.2849271940181031,0.5556867375049194
4,ANSON,Democrat,18307,10356,0.4037253509586497,0.6266898416376979,0.42677664281422406,0.22981846272692158,0.5732233571857759,0.7701815372730784,54.140219588135686,56.98512939358826,0.24329491451357405,0.15349057099332877,0.005725692073330882,0.156327152387456,0.3212165782423701
4,ANSON,Republican,18307,3427,0.4037253509586497,0.04172745841844178,0.42677664281422406,0.7703530784943099,0.5732233571857759,0.2296469215056901,54.140219588135686,53.26086956521739,0.24329491451357405,0.27619779656674354,0.0025621316935690495,0.18754803996925443,0.471688444786062
5,ASHE,Democrat,23107,4674,0.006015493140606743,0.013906718014548566,0.9246115895616047,0.9308943089430894,0.0753884104383953,0.06910569105691057,57.514346301986414,65.30423620025674,0.33543947721469686,0.3478643769264641,0.01343020695728754,0.1754733597534126,0.5402906208718626
5,ASHE,Republican,23107,10555,0.006015493140606743,0.0018948365703458077,0.9246115895616047,0.9395547134059687,0.0753884104383953,0.06044528659403126,57.514346301986414,58.794504973946,0.33543947721469686,0.3088975937325126,0.0051482932288752095,0.12008953553441522,0.43648573027420257
6,AVERY,Democrat,14477,1517,0.005249706430890378,0.02109426499670402,0.909373488982524,0.8707976268951879,0.090626511017476,0.12920237310481214,56.69047454583132,58.68094924192485,0.31788353940733577,0.5681650700073692,0.01989683124539425,0.16285924834193072,0.7686072218128224
6,AVERY,Republican,14477,8275,0.005249706430890378,0.0014501510574018127,0.909373488982524,0.9309969788519638,0.090626511017476,0.06900302114803625,56.69047454583132,58.79395770392749,0.31788353940733577,0.460030549898167,0.008019348268839105,0.09432281059063137,0.5763747454175153
