jurisdiction,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
ALAMANCE,Democrat,130044,43958,0.20637630340500138,0.46683197597706905,0.6548245209313771,0.39783429637381135,0.34517547906862295,0.6021657036261886,52.17274153363477,54.590017744210385,0.3351019654886039,0.28544905280382654,0.006576877084775631,0.16977154005916043,0.46985335766882746
ALAMANCE,Republican,130044,41669,0.20637630340500138,0.015311142576015744,0.6548245209313771,0.9081331445439056,0.34517547906862295,0.09186685545609447,52.17274153363477,56.019558904701334,0.3351019654886039,0.2625448334756618,0.005123825789923143,0.14763450042698548,0.41837745516652436
ALEXANDER,Democrat,28687,5183,0.03956495973786035,0.1522284391279182,0.8806776588698714,0.7788925332818831,0.11932234113012863,0.22110746671811693,54.51699376023983,62.599266833879994,0.3352738174085823,0.23968827219159855,0.0043717924348983086,0.19444972438699867,0.44611290629157957
ALEXANDER,Republican,28687,13743,0.03956495973786035,0.0032016299206868953,0.8806776588698714,0.9350214654733319,0.11932234113012863,0.06497853452666812,54.51699376023983,55.45695990686168,0.3352738174085823,0.27625528784256026,0.0026669118999448223,0.23376862240205995,0.5204156704064742
ALLEGHANY,Democrat,9271,2234,0.009384100959982742,0.02730528200537153,0.8950490777693885,0.9100268576544315,0.10495092223061159,0.08997314234556848,58.94962787185848,66.98567591763653,0.33836695070650413,0.2459016393442623,0.011384335154826957,0.24089253187613843,0.5040983606557377
ALLEGHANY,Republican,9271,3843,0.009384100959982742,0.0010408534998698933,0.8950490777693885,0.9188134270101483,0.10495092223061159,0.08118657298985169,58.94962787185848,59.14519906323185,0.33836695070650413,0.2616127833519138,0.010405053883314752,0.2831661092530658,0.5615013006317354
ANSON,Democrat,18307,10356,0.4037253509586497,0.6266898416376979,0.42677664281422406,0.22981846272692158,0.5732233571857759,0.7701815372730784,54.140219588135686,56.98512939358826,0.24329491451357405,0.17928719518215025,0.004245236449797611,0.15065653075328264,0.33991509527100405
ANSON,Republican,18307,3427,0.4037253509586497,0.04172745841844178,0.42677664281422406,0.7703530784943099,0.5732233571857759,0.2296469215056901,54.140219588135686,53.26086956521739,0.24329491451357405,0.32323232323232326,0.0016161616161616162,0.14545454545454545,0.47474747474747475
ASHE,Democrat,23107,4674,0.006015493140606743,0.013906718014548566,0.9246115895616047,0.9308943089430894,0.0753884104383953,0.06910569105691057,57.514346301986414,65.30423620025674,0.33543947721469686,0.3478643769264641,0.01343020695728754,0.1754733597534126,0.5402906208718626
ASHE,Republican,23107,10555,0.006015493140606743,0.0018948365703458077,0.9246115895616047,0.9395547134059687,0.0753884104383953,0.06044528659403126,57.514346301986414,58.794504973946,0.33543947721469686,0.3144871953482618,0.005196090560435482,0.11963379933193122,0.44191513052084624
