jurisdiction,precinct_id,party,precinct_total_reg,precinct_total_party_reg,precinct_pct_black,precinct_pct_party_black,precinct_pct_white,precinct_pct_party_white,precinct_pct_nonwhite,precinct_pct_party_nonwhite,precinct_avg_age,precinct_avg_party_age,precinct_pct_una,precinct_pct_party_election_day_lag
ALAMANCE,,Democrat,16140,6836,0.20452292441140024,0.406377998829725,0.6940520446096654,0.5067290813341135,0.3059479553903346,0.49327091866588646,65.58624535315985,68.01272674078409,0.2650557620817844,NA
ALAMANCE,,Republican,16140,4965,0.20452292441140024,0.015508559919436053,0.6940520446096654,0.9365558912386707,0.3059479553903346,0.0634441087613293,65.58624535315985,71.12567975830815,0.2650557620817844,NA
ALAMANCE,01,Democrat,3724,541,0.05988184747583244,0.29944547134935307,0.8490870032223415,0.600739371534196,0.15091299677765843,0.39926062846580407,50.777389903329755,56.46210720887246,0.317937701396348,0.27314814814814814
ALAMANCE,01,Republican,3724,1976,0.05988184747583244,0.006072874493927126,0.8490870032223415,0.9291497975708503,0.15091299677765843,0.0708502024291498,50.777389903329755,51.635627530364374,0.317937701396348,0.29510229386236825
ALAMANCE,02,Democrat,3714,540,0.03984921917070544,0.19814814814814816,0.8863758750673129,0.7222222222222222,0.11362412493268713,0.2777777777777778,51.53877221324717,57.12592592592593,0.31367797522886376,0.2639593908629442
ALAMANCE,02,Republican,3714,1987,0.03984921917070544,0.004026170105686965,0.8863758750673129,0.9411172622043281,0.11362412493268713,0.058882737795671866,51.53877221324717,52.66884750880725,0.31367797522886376,0.27304550758459745
ALAMANCE,035,Democrat,4406,1341,0.12846118928733546,0.307979120059657,0.7394462097140263,0.5771812080536913,0.2605537902859737,0.4228187919463087,45.33885610531094,43.56450410141685,0.3563322741715842,0.31016507384882713
ALAMANCE,035,Republican,4406,1454,0.12846118928733546,0.011691884456671253,0.7394462097140263,0.90646492434663,0.2605537902859737,0.09353507565337002,45.33885610531094,51.61691884456671,0.3563322741715842,0.25944767441860467
ALAMANCE,03C,Democrat,2380,604,0.0726890756302521,0.2185430463576159,0.823109243697479,0.6539735099337748,0.17689075630252102,0.34602649006622516,54.272689075630254,59.16887417218543,0.33865546218487397,0.49270664505672607
ALAMANCE,03C,Republican,2380,952,0.0726890756302521,0.0063025210084033615,0.823109243697479,0.9453781512605042,0.17689075630252102,0.0546218487394958,54.272689075630254,56.330882352941174,0.33865546218487397,0.3415892672858617
ALAMANCE,03N,Democrat,3306,1071,0.08166969147005444,0.1839402427637722,0.8024803387779794,0.7124183006535948,0.19751966122202058,0.2875816993464052,46.45220810647308,43.35107376283847,0.3502722323049002,0.35508021390374334
ALAMANCE,03N,Republican,3306,1051,0.08166969147005444,0.003805899143672693,0.8024803387779794,0.9352997145575642,0.19751966122202058,0.06470028544243578,46.45220810647308,54.55185537583254,0.3502722323049002,0.23018867924528302
ALAMANCE,03N2,Democrat,669,233,0.01046337817638266,0.02145922746781116,0.9357249626307922,0.9227467811158798,0.06427503736920777,0.07725321888412018,80.98804185351271,83.21030042918454,0.35276532137518685,1.0161943319838056
ALAMANCE,03N2,Republican,669,199,0.01046337817638266,0.010050251256281407,0.9357249626307922,0.9547738693467337,0.06427503736920777,0.04522613065326633,80.98804185351271,79.84422110552764,0.35276532137518685,0.4015748031496063
ALAMANCE,03SE,Democrat,3969,1331,0.24439405391786345,0.48760330578512395,0.6107331821617535,0.3651389932381668,0.3892668178382464,0.6348610067618332,49.755605946082134,50.604057099924866,0.36986646510456034,NA
ALAMANCE,03SE,Republican,3969,1135,0.24439405391786345,0.019383259911894272,0.6107331821617535,0.8977973568281938,0.3892668178382464,0.10220264317180616,49.755605946082134,55.67136563876652,0.36986646510456034,NA
ALAMANCE,03SM,Democrat,3744,1072,0.18830128205128205,0.41884328358208955,0.6316773504273504,0.3805970149253731,0.3683226495726496,0.6194029850746269,48.543536324786324,49.367537313432834,0.41479700854700857,NA
ALAMANCE,03SM,Republican,3744,1090,0.18830128205128205,0.015596330275229359,0.6316773504273504,0.8880733944954129,0.3683226495726496,0.11192660550458716,48.543536324786324,53.5697247706422,0.41479700854700857,NA
ALAMANCE,03W,Democrat,3035,789,0.11499176276771005,0.3269961977186312,0.7670510708401977,0.5297845373891001,0.2329489291598023,0.47021546261089986,51.263920922570016,53.27122940430925,0.36144975288303133,0.33972602739726027
ALAMANCE,03W,Republican,3035,1125,0.11499176276771005,0.0071111111111111115,0.7670510708401977,0.9155555555555556,0.2329489291598023,0.08444444444444445,51.263920922570016,53.614222222222224,0.36144975288303133,0.27128157156220767
ALAMANCE,04,Democrat,3921,749,0.09385360877327212,0.39118825100133514,0.8296352971180821,0.5420560747663551,0.17036470288191788,0.45794392523364486,52.281305789339456,60.053404539385845,0.297628156082632,0.2706422018348624
ALAMANCE,04,Republican,3921,1987,0.09385360877327212,0.0050327126321087065,0.8296352971180821,0.9295420231504781,0.17036470288191788,0.07045797684952189,52.281305789339456,52.286864620030194,0.297628156082632,0.2826729745712596
ALAMANCE,05,Democrat,2630,430,0.04638783269961977,0.2186046511627907,0.8749049429657795,0.6976744186046512,0.12509505703422052,0.3023255813953488,52.476425855513305,59.35813953488372,0.3144486692015209,0.3059548254620123
ALAMANCE,05,Republican,2630,1359,0.04638783269961977,0.002207505518763797,0.8749049429657795,0.9389256806475349,0.12509505703422052,0.061074319352465045,52.476425855513305,52.6990434142752,0.3144486692015209,0.3011120615911035
ALAMANCE,063,Democrat,2565,1238,0.36686159844054583,0.5759289176090469,0.3508771929824561,0.16882067851373184,0.6491228070175439,0.8311793214862682,47.719688109161794,48.88126009693053,0.3321637426900585,0.2209026128266033
ALAMANCE,063,Republican,2565,462,0.36686159844054583,0.03896103896103896,0.3508771929824561,0.8203463203463204,0.6491228070175439,0.17965367965367965,47.719688109161794,57.14935064935065,0.3321637426900585,0.21333333333333335
ALAMANCE,064,Democrat,4686,1336,0.16325224071702946,0.4393712574850299,0.6705078958600086,0.38997005988023953,0.32949210413999147,0.6100299401197605,52.030943235168586,53.26646706586826,0.3544600938967136,0.31755102040816324
ALAMANCE,064,Republican,4686,1657,0.16325224071702946,0.011466505733252867,0.6705078958600086,0.9016294508147255,0.32949210413999147,0.09837054918527459,52.030943235168586,56.344598672299334,0.3544600938967136,0.24641638225255974
ALAMANCE,06E,Democrat,2343,881,0.27571489543320526,0.5607264472190693,0.5676483141271874,0.3076049943246311,0.43235168587281264,0.6923950056753689,49.35595390524968,50.48694665153235,0.35638070849338455,0.2251655629139073
ALAMANCE,06E,Republican,2343,609,0.27571489543320526,0.021346469622331693,0.5676483141271874,0.8899835796387521,0.43235168587281264,0.11001642036124795,49.35595390524968,56.4055829228243,0.35638070849338455,0.23478260869565218
ALAMANCE,06N,Democrat,2433,1176,0.39128647759967117,0.6130952380952381,0.385121249486231,0.2108843537414966,0.6148787505137691,0.7891156462585034,47.76366625565146,49.480442176870746,0.33949856144677354,0.17921440261865793
ALAMANCE,06N,Republican,2433,413,0.39128647759967117,0.05811138014527845,0.385121249486231,0.8038740920096852,0.6148787505137691,0.19612590799031476,47.76366625565146,55.93462469733656,0.33949856144677354,0.2275132275132275
ALAMANCE,06S,Democrat,3376,1061,0.2334123222748815,0.5155513666352498,0.6347748815165877,0.3609802073515551,0.3652251184834123,0.6390197926484449,49.937203791469194,51.6559849198869,0.36492890995260663,0.26692836113837093
ALAMANCE,06S,Republican,3376,1061,0.2334123222748815,0.020735155513666354,0.6347748815165877,0.9057492931196984,0.3652251184834123,0.0942507068803016,49.937203791469194,54.47879359095193,0.36492890995260663,0.2457627118644068
ALAMANCE,06W,Democrat,1116,449,0.2974910394265233,0.5434298440979956,0.49372759856630827,0.25389755011135856,0.5062724014336918,0.7461024498886414,49.200716845878134,48.5924276169265,0.3673835125448029,0.2210065645514223
ALAMANCE,06W,Republican,1116,248,0.2974910394265233,0.012096774193548387,0.49372759856630827,0.8669354838709677,0.5062724014336918,0.13306451612903225,49.200716845878134,55.84274193548387,0.3673835125448029,0.2600896860986547
ALAMANCE,07,Democrat,3283,578,0.05025890953396284,0.23183391003460208,0.8580566554980201,0.6608996539792388,0.1419433445019799,0.3391003460207612,51.140724946695094,55.50692041522491,0.32653061224489793,0.25442834138486314
ALAMANCE,07,Republican,3283,1619,0.05025890953396284,0.0030883261272390363,0.8580566554980201,0.9419394688079061,0.1419433445019799,0.05806053119209389,51.140724946695094,52.48486720197653,0.32653061224489793,0.2748414376321353
ALAMANCE,08N,Democrat,2927,751,0.07242910830201571,0.21304926764314247,0.791595490263068,0.6045272969374168,0.208404509736932,0.3954727030625832,50.19610522719508,53.894806924101196,0.3512128459173215,0.3730366492146597
