county_id,county_desc,cbs_region,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
1,ALAMANCE,4,Democrat,130037,43959,0.2064027930512085,0.466866853204122,0.6547751793720249,0.39773425237152804,0.3452248206279751,0.602265747628472,52.17233556603121,54.58418071384699,0.3350584833547375,0.28544905280382654,0.006576877084775631,0.16977154005916043,0.46985335766882746
1,ALAMANCE,4,Republican,130037,41669,0.2064027930512085,0.015335141232091003,0.6547751793720249,0.9081091458878303,0.3452248206279751,0.09189085411216971,52.17233556603121,56.01994288319854,0.3350584833547375,0.26424501424501423,0.005050505050505051,0.14652939652939653,0.41893291893291895
2,ALEXANDER,5,Democrat,28683,5183,0.0395704772861974,0.1522284391279182,0.8805215632953317,0.7788925332818831,0.11947843670466828,0.22110746671811693,54.51839068437751,62.599266833879994,0.3352508454485235,0.22235576923076922,0.004261363636363636,0.19154283216783216,0.4266826923076923
2,ALEXANDER,5,Republican,28683,13741,0.0395704772861974,0.0032020959173277054,0.8805215632953317,0.934866458045266,0.11947843670466828,0.065133541954734,54.51839068437751,55.459209664507675,0.3352508454485235,0.26694103055586876,0.0024805502311421807,0.24495433532529035,0.5228323373548315
3,ALLEGHANY,5,Democrat,9278,2234,0.00937702090967881,0.02730528200537153,0.8946971330028023,0.9100268576544315,0.10530286699719767,0.08997314234556848,58.93069627074801,66.98567591763653,0.3383272256951929,0.24488338886244645,0.010947168015230843,0.24012375059495478,0.5023798191337459
3,ALLEGHANY,5,Republican,9278,3848,0.00937702090967881,0.0010395010395010396,0.8946971330028023,0.9178794178794178,0.10530286699719767,0.08212058212058213,58.93069627074801,59.103690228690226,0.3383272256951929,0.2548865276138003,0.009707464252918798,0.2849271940181031,0.5556867375049194
4,ANSON,4,Democrat,18306,10355,0.40369277832404676,0.6266537904394013,0.4267999562984814,0.22984065668759054,0.5732000437015187,0.7701593433124094,54.14170217415055,56.988025108643164,0.24330820496012237,0.15349057099332877,0.005725692073330882,0.156327152387456,0.3212165782423701
4,ANSON,4,Republican,18306,3427,0.40369277832404676,0.04172745841844178,0.4267999562984814,0.7703530784943099,0.5732000437015187,0.2296469215056901,54.14170217415055,53.26086956521739,0.24330820496012237,0.27619779656674354,0.0025621316935690495,0.18754803996925443,0.471688444786062
5,ASHE,5,Democrat,23110,4674,0.006014712245781047,0.013906718014548566,0.9243184768498486,0.9306803594351734,0.07568152315015145,0.0693196405648267,57.5154478580701,65.30423620025674,0.33539593249675465,0.3478643769264641,0.01343020695728754,0.1754733597534126,0.5402906208718626
5,ASHE,5,Republican,23110,10558,0.006014712245781047,0.0018942981625307824,0.9243184768498486,0.9390035991665088,0.07568152315015145,0.06099640083349119,57.5154478580701,58.79655237734419,0.33539593249675465,0.3088975937325126,0.0051482932288752095,0.12008953553441522,0.43648573027420257
6,AVERY,5,Democrat,14475,1517,0.005250431778929188,0.02109426499670402,0.9093609671848014,0.8707976268951879,0.09063903281519863,0.12920237310481214,56.69257340241796,58.68094924192485,0.3177892918825561,0.5681650700073692,0.01989683124539425,0.16285924834193072,0.7686072218128224
6,AVERY,5,Republican,14475,8275,0.005250431778929188,0.0014501510574018127,0.9093609671848014,0.9309969788519638,0.09063903281519863,0.06900302114803625,56.69257340241796,58.8004833836858,0.3177892918825561,0.460030549898167,0.008019348268839105,0.09432281059063137,0.5763747454175153
7,BEAUFORT,1,Democrat,39872,12768,0.21734550561797752,0.5574874686716792,0.6953250401284109,0.3743734335839599,0.3046749598715891,0.6256265664160401,56.619231540930976,60.48543233082707,0.3116472712680578,0.28847440615590497,0.003763800602208096,0.15063566410170626,0.44688859150217464
7,BEAUFORT,1,Republican,39872,14508,0.21734550561797752,0.01578439481665288,0.6953250401284109,0.9216983733112766,0.3046749598715891,0.07830162668872347,56.619231540930976,57.076027019575406,0.3116472712680578,0.3423277567907897,0.003957546321280806,0.1556934700485699,0.5041374347904299
8,BERTIE,1,Democrat,14784,9198,0.5655438311688312,0.776255707762557,0.36153950216450215,0.18253968253968253,0.6384604978354979,0.8174603174603174,56.01359577922078,59.43161556860187,0.24722673160173161,0.23222748815165878,0.002311871459946827,0.13085192463299042,0.38307710091318925
8,BERTIE,1,Republican,14784,1886,0.5655438311688312,0.1007423117709438,0.36153950216450215,0.8313891834570519,0.6384604978354979,0.16861081654294804,56.01359577922078,53.65959703075291,0.24722673160173161,0.36671270718232046,6.906077348066298e-4,0.14019337016574585,0.5234806629834254
9,BLADEN,1,Democrat,26661,11622,0.3418101346536139,0.654190328686973,0.5593563632271857,0.2774909654104285,0.4406436367728142,0.7225090345895715,54.48951652226098,59.187317157115814,0.3301451558456172,0.2172033118675253,0.0030358785648574057,0.16062557497700092,0.39779208831646734
9,BLADEN,1,Republican,26661,6129,0.3418101346536139,0.032305433186490456,0.5593563632271857,0.8901941589166259,0.4406436367728142,0.10980584108337413,54.48951652226098,52.93620492739436,0.3301451558456172,0.38662280701754387,0.007236842105263158,0.2760964912280702,0.6807017543859649
10,BRUNSWICK,1,Democrat,149877,32220,0.06896988864201979,0.23280571073867162,0.8347778511712938,0.6758535071384233,0.1652221488287062,0.32414649286157665,59.69543692494512,61.99605834885165,0.37638863868372063,NA,NA,NA,NA
