state,jurisdiction,precinct_id,vote_mode,us_senate_republican_brnovich_pct,us_senate_republican_lamon_pct,us_senate_republican_masters_pct,us_senate_republican_mcguire_pct,us_senate_republican_olson_pct,us_senate_republican_w_pct,us_senate_republican_bertone_pct,us_senate_republican_bozic_pct,us_senate_republican_nq_pct,governor_republican_lake_pct,governor_republican_neely_pct,governor_republican_salmon_pct,governor_republican_robson_pct,governor_republican_tulliani_pct,governor_republican_w_pct,governor_republican_finerd_pct,governor_republican_roldan_pct,governor_republican_schatz_pct,governor_republican_nq_pct,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0002 ACOMA,Total Vote Share,0.1717171717171717,0.2717171717171717,0.4101010101010101,0.10202020202020202,0.04040404040404041,0.00202020202020202,0,0,0.00202020202020202,0.49603174603174605,0.022817460317460316,0.025793650793650792,0.44146825396825395,0.00992063492063492,0.001984126984126984,0,0,0,0.001984126984126984,04013_0002 ACOMA,MARICOPA,3373,870,718,1602,1539,1617,1103,1951,1842,2615,0.485110185,0.514889815,0.193596205,0.208419804,0.31396383,0.28402016,0.779494799,0.008915305,0.132540862,0.079049034,0.272727273,0.22507837,0.502194357,0.546622023,0.453377977,0.416039619,0.36345518
AZ,MARICOPA,0003 ACUNA,Early Voting,0.12121212121212122,0.15151515151515152,0.5303030303030303,0.045454545454545456,0.12121212121212122,0.015151515151515152,0,0,0.015151515151515152,0.46153846153846156,0.09230769230769231,0.046153846153846156,0.3076923076923077,0.06153846153846154,0.015384615384615385,0,0,0,0.015384615384615385,04013_0003 ACUNA,MARICOPA,3048,1180,1465,295,757,793,455,1123,950,1604,0.472932581,0.527067419,0.312766656,0.256974073,0.226124056,0.204135215,0.205708661,0.036089239,0.723425197,0.034776903,0.401360544,0.49829932,0.100340136,0.814781463,0.185218537,0.16233225,0.043376411
AZ,MARICOPA,0003 ACUNA,Election Day,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0,0,0,0,0.6,0.13333333333333333,0.06666666666666667,0.2,0,0,0,0,0,0,04013_0003 ACUNA,MARICOPA,3048,1180,1465,295,757,793,455,1123,950,1604,0.472932581,0.527067419,0.312766656,0.256974073,0.226124056,0.204135215,0.205708661,0.036089239,0.723425197,0.034776903,0.401360544,0.49829932,0.100340136,0.814781463,0.185218537,0.16233225,0.043376411
AZ,MARICOPA,0003 ACUNA,Provisional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04013_0003 ACUNA,MARICOPA,3048,1180,1465,295,757,793,455,1123,950,1604,0.472932581,0.527067419,0.312766656,0.256974073,0.226124056,0.204135215,0.205708661,0.036089239,0.723425197,0.034776903,0.401360544,0.49829932,0.100340136,0.814781463,0.185218537,0.16233225,0.043376411
AZ,MARICOPA,0003 ACUNA,Total Vote Share,0.16049382716049382,0.13580246913580246,0.48148148148148145,0.08641975308641975,0.1111111111111111,0.012345679012345678,0,0,0.012345679012345678,0.4875,0.1,0.05,0.2875,0.05,0.0125,0,0,0,0.0125,04013_0003 ACUNA,MARICOPA,3048,1180,1465,295,757,793,455,1123,950,1604,0.472932581,0.527067419,0.312766656,0.256974073,0.226124056,0.204135215,0.205708661,0.036089239,0.723425197,0.034776903,0.401360544,0.49829932,0.100340136,0.814781463,0.185218537,0.16233225,0.043376411
AZ,MARICOPA,0004 ADOBE,Early Voting,0.16981132075471697,0.25,0.42452830188679247,0.09433962264150944,0.06132075471698113,0,0,0,0,0.5772727272727273,0.02727272727272727,0.013636363636363636,0.34545454545454546,0.03636363636363636,0,0,0,0,0,04013_0004 ADOBE,MARICOPA,1526,569,356,505,483,512,304,680,624,1067,0.491738268,0.508261732,0.176933159,0.321100917,0.328964613,0.173001311,0.760812582,0.005897772,0.141546527,0.091743119,0.397902098,0.248951049,0.353146853,0.6595523,0.3404477,0.496187127,0.264625455
AZ,MARICOPA,0004 ADOBE,Election Day,0.16981132075471697,0.1320754716981132,0.5849056603773585,0.05660377358490566,0.018867924528301886,0.018867924528301886,0,0,0.018867924528301886,0.7692307692307693,0,0.038461538461538464,0.17307692307692307,0.019230769230769232,0,0,0,0,0,04013_0004 ADOBE,MARICOPA,1526,569,356,505,483,512,304,680,624,1067,0.491738268,0.508261732,0.176933159,0.321100917,0.328964613,0.173001311,0.760812582,0.005897772,0.141546527,0.091743119,0.397902098,0.248951049,0.353146853,0.6595523,0.3404477,0.496187127,0.264625455
AZ,MARICOPA,0004 ADOBE,Provisional,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,04013_0004 ADOBE,MARICOPA,1526,569,356,505,483,512,304,680,624,1067,0.491738268,0.508261732,0.176933159,0.321100917,0.328964613,0.173001311,0.760812582,0.005897772,0.141546527,0.091743119,0.397902098,0.248951049,0.353146853,0.6595523,0.3404477,0.496187127,0.264625455
AZ,MARICOPA,0004 ADOBE,Total Vote Share,0.17293233082706766,0.22556390977443608,0.4548872180451128,0.08646616541353383,0.05263157894736842,0.0037593984962406013,0,0,0.0037593984962406013,0.6153846153846154,0.02197802197802198,0.018315018315018316,0.31135531135531136,0.03296703296703297,0,0,0,0,0,04013_0004 ADOBE,MARICOPA,1526,569,356,505,483,512,304,680,624,1067,0.491738268,0.508261732,0.176933159,0.321100917,0.328964613,0.173001311,0.760812582,0.005897772,0.141546527,0.091743119,0.397902098,0.248951049,0.353146853,0.6595523,0.3404477,0.496187127,0.264625455
AZ,MARICOPA,0005 ADORA,Early Voting,0.16648531011969533,0.2927094668117519,0.40805223068552776,0.04896626768226333,0.07290533188248095,0.00544069640914037,0.001088139281828074,0,0.004352557127312296,0.49038461538461536,0.041666666666666664,0.027777777777777776,0.4166666666666667,0.017094017094017096,0.003205128205128205,0,0,0,0.003205128205128205,04013_0005 ADORA,MARICOPA,4446,1341,979,1946,1262,1411,838,2007,2062,3414,0.493535949,0.506464051,0.153621233,0.271704903,0.399460189,0.175213675,0.762483131,0.010121457,0.132703554,0.094691858,0.314345992,0.229488983,0.456165026,0.5852921,0.4147079,0.437210689,0.325272442
AZ,MARICOPA,0005 ADORA,Election Day,0.10344827586206896,0.20689655172413793,0.5862068965517241,0.040229885057471264,0.06321839080459771,0,0,0,0,0.603448275862069,0.005747126436781609,0.034482758620689655,0.3390804597701149,0.017241379310344827,0,0,0,0,0,04013_0005 ADORA,MARICOPA,4446,1341,979,1946,1262,1411,838,2007,2062,3414,0.493535949,0.506464051,0.153621233,0.271704903,0.399460189,0.175213675,0.762483131,0.010121457,0.132703554,0.094691858,0.314345992,0.229488983,0.456165026,0.5852921,0.4147079,0.437210689,0.325272442
AZ,MARICOPA,0005 ADORA,Provisional,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04013_0005 ADORA,MARICOPA,4446,1341,979,1946,1262,1411,838,2007,2062,3414,0.493535949,0.506464051,0.153621233,0.271704903,0.399460189,0.175213675,0.762483131,0.010121457,0.132703554,0.094691858,0.314345992,0.229488983,0.456165026,0.5852921,0.4147079,0.437210689,0.325272442
AZ,MARICOPA,0005 ADORA,Total Vote Share,0.15722120658135283,0.27879341864716634,0.4360146252285192,0.04753199268738574,0.0712979890310786,0.004570383912248629,9.140767824497258e-4,0,0.003656307129798903,0.5076507650765076,0.036003600360036005,0.0288028802880288,0.40504050405040504,0.017101710171017102,0.0027002700270027003,0,0,0,0.0027002700270027003,04013_0005 ADORA,MARICOPA,4446,1341,979,1946,1262,1411,838,2007,2062,3414,0.493535949,0.506464051,0.153621233,0.271704903,0.399460189,0.175213675,0.762483131,0.010121457,0.132703554,0.094691858,0.314345992,0.229488983,0.456165026,0.5852921,0.4147079,0.437210689,0.325272442
AZ,MARICOPA,0006 AGRITOPIA,Early Voting,0.15945330296127563,0.22779043280182232,0.42369020501138954,0.11161731207289294,0.0683371298405467,0.004555808656036446,0,0,0.004555808656036446,0.5676274944567627,0.024390243902439025,0.03547671840354767,0.35920177383592017,0.013303769401330377,0,0,0,0,0,04013_0006 AGRITOPIA,MARICOPA,3029,974,711,1165,1079,1129,685,1501,1395,2192,0.478231971,0.521768029,0.210960713,0.311323869,0.336084516,0.141630901,0.798283262,0.019478376,0.125123803,0.057114559,0.341754386,0.249473684,0.40877193,0.529064366,0.470935634,0.407370182,0.39091308
AZ,MARICOPA,0006 AGRITOPIA,Election Day,0.128,0.208,0.52,0.072,0.072,0,0,0,0,0.6,0.03076923076923077,0.015384615384615385,0.35384615384615387,0,0,0,0,0,0,04013_0006 AGRITOPIA,MARICOPA,3029,974,711,1165,1079,1129,685,1501,1395,2192,0.478231971,0.521768029,0.210960713,0.311323869,0.336084516,0.141630901,0.798283262,0.019478376,0.125123803,0.057114559,0.341754386,0.249473684,0.40877193,0.529064366,0.470935634,0.407370182,0.39091308
AZ,MARICOPA,0006 AGRITOPIA,Provisional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04013_0006 AGRITOPIA,MARICOPA,3029,974,711,1165,1079,1129,685,1501,1395,2192,0.478231971,0.521768029,0.210960713,0.311323869,0.336084516,0.141630901,0.798283262,0.019478376,0.125123803,0.057114559,0.341754386,0.249473684,0.40877193,0.529064366,0.470935634,0.407370182,0.39091308
AZ,MARICOPA,0006 AGRITOPIA,Total Vote Share,0.1524822695035461,0.22340425531914893,0.4450354609929078,0.10283687943262411,0.06914893617021277,0.0035460992907801418,0,0,0.0035460992907801418,0.5748709122203098,0.025817555938037865,0.03098106712564544,0.35800344234079173,0.010327022375215147,0,0,0,0,0,04013_0006 AGRITOPIA,MARICOPA,3029,974,711,1165,1079,1129,685,1501,1395,2192,0.478231971,0.521768029,0.210960713,0.311323869,0.336084516,0.141630901,0.798283262,0.019478376,0.125123803,0.057114559,0.341754386,0.249473684,0.40877193,0.529064366,0.470935634,0.407370182,0.39091308
AZ,MARICOPA,0007 AGUA FRIA,Early Voting,0.1550925925925926,0.3680555555555556,0.3680555555555556,0.07175925925925926,0.027777777777777776,0.004629629629629629,0,0,0.004629629629629629,0.39863325740318906,0.011389521640091117,0.03189066059225513,0.5466970387243736,0.011389521640091117,0,0,0,0,0,04013_0007 AGUA FRIA,MARICOPA,1563,409,404,652,668,700,577,934,907,1222,0.410025707,0.589974293,0.060179257,0.113316261,0.220870679,0.605633803,0.864363404,0.005758157,0.097888676,0.031989763,0.279180887,0.275767918,0.445051195,0.641876296,0.358123704,0.545508433,0.318854971
AZ,MARICOPA,0007 AGUA FRIA,Election Day,0.19791666666666666,0.2916666666666667,0.40625,0.07291666666666667,0.010416666666666666,0.010416666666666666,0,0,0.010416666666666666,0.5257731958762887,0.020618556701030927,0.010309278350515464,0.41237113402061853,0.030927835051546393,0,0,0,0,0,04013_0007 AGUA FRIA,MARICOPA,1563,409,404,652,668,700,577,934,907,1222,0.410025707,0.589974293,0.060179257,0.113316261,0.220870679,0.605633803,0.864363404,0.005758157,0.097888676,0.031989763,0.279180887,0.275767918,0.445051195,0.641876296,0.358123704,0.545508433,0.318854971
AZ,MARICOPA,0007 AGUA FRIA,Provisional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04013_0007 AGUA FRIA,MARICOPA,1563,409,404,652,668,700,577,934,907,1222,0.410025707,0.589974293,0.060179257,0.113316261,0.220870679,0.605633803,0.864363404,0.005758157,0.097888676,0.031989763,0.279180887,0.275767918,0.445051195,0.641876296,0.358123704,0.545508433,0.318854971
AZ,MARICOPA,0007 AGUA FRIA,Total Vote Share,0.16287878787878787,0.3541666666666667,0.375,0.07196969696969698,0.02462121212121212,0.005681818181818182,0,0,0.005681818181818182,0.4216417910447761,0.013059701492537313,0.027985074626865673,0.5223880597014925,0.014925373134328358,0,0,0,0,0,04013_0007 AGUA FRIA,MARICOPA,1563,409,404,652,668,700,577,934,907,1222,0.410025707,0.589974293,0.060179257,0.113316261,0.220870679,0.605633803,0.864363404,0.005758157,0.097888676,0.031989763,0.279180887,0.275767918,0.445051195,0.641876296,0.358123704,0.545508433,0.318854971
AZ,MARICOPA,0008 AGUILA,Early Voting,0.18518518518518517,0.2962962962962963,0.32098765432098764,0.12345679012345678,0.024691358024691357,0.024691358024691357,0,0,0.024691358024691357,0.4823529411764706,0.07058823529411765,0.011764705882352941,0.4,0.011764705882352941,0.011764705882352941,0,0,0,0.011764705882352941,04013_0008 AGUILA,MARICOPA,446,130,66,229,145,151,112,185,179,271,0.511210762,0.488789238,0.188340807,0.150224215,0.257847534,0.403587444,0.636363636,0,0.354545455,0.009090909,0.305882353,0.155294118,0.538823529,0.726089528,0.273910472,0.442902637,0.193461
AZ,MARICOPA,0008 AGUILA,Election Day,0.11428571428571428,0.22857142857142856,0.45714285714285713,0.14285714285714285,0,0.02857142857142857,0,0,0.02857142857142857,0.47058823529411764,0.058823529411764705,0.058823529411764705,0.4117647058823529,0,0,0,0,0,0,04013_0008 AGUILA,MARICOPA,446,130,66,229,145,151,112,185,179,271,0.511210762,0.488789238,0.188340807,0.150224215,0.257847534,0.403587444,0.636363636,0,0.354545455,0.009090909,0.305882353,0.155294118,0.538823529,0.726089528,0.273910472,0.442902637,0.193461
