cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,county_total_turnout,county_total_early,county_total_absentee,county_total_election_day,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo,race_name,party,state
1,BEAUFORT,25,0.9259259259259259,7638,2341,45,5252,2024-03-06T03:28:02Z,NA,NA,NA,18.996638481962584,21.120900128324436,17.828916680615592,742.993888669958,764.5121548835255,742.993888669958,President-Republican,Republican,NC
1,BERTIE,14,0.875,928,287,1,640,2024-03-06T03:28:02Z,NA,NA,NA,0.9620430026802129,-0.9368281333103209,0.2046821700272538,32.190974885795605,-53.47689991891058,32.190974885795605,President-Republican,Republican,NC
1,BLADEN,22,0.9565217391304348,3268,935,11,2322,2024-03-06T03:28:02Z,NA,NA,NA,12.373284806849187,6.484305880858088,5.085007701970724,222.6938991463778,217.89971669957527,222.6938991463778,President-Republican,Republican,NC
1,BRUNSWICK,27,1,26324,10637,403,15284,2024-03-06T03:28:02Z,5137.62985108857,6293.092959944651,6293.092959944647,67.11231157862449,99.65814290301427,103.02313410359659,3943.1292327546603,3622.2605141867875,3943.1292327546603,President-Republican,Republican,NC
1,CAMDEN,5,0.8333333333333334,1482,442,3,1037,2024-03-06T03:28:02Z,NA,NA,NA,5.8381780050910255,5.816461011198698,5.4987527885254535,229.43086364441433,212.52705377969195,229.43086364441433,President-Republican,Republican,NC
1,CARTERET,26,1,9886,4907,76,4903,2024-03-06T03:28:02Z,2561.678822497197,2263.6920379942394,2263.6920379942403,29.985935257278477,50.66429768931425,53.79354746272026,2068.055621745277,1854.8904531583264,2068.055621745277,President-Republican,Republican,NC
1,CHOWAN,6,1,1894,706,6,1182,2024-03-06T03:28:02Z,385.24093089337913,385.2409308933792,385.2409308933792,7.066376370080699,4.559447803084735,3.7415940672570236,172.21218478144158,163.00216948897972,172.21218478144158,President-Republican,Republican,NC
1,COLUMBUS,21,1,4751,1134,16,3601,2024-03-06T03:28:02Z,1081.9673579795385,1149.4167290442592,1149.4167290442588,9.370975614140809,14.23316540928751,11.916802081965734,486.8167257534359,482.69972798198506,486.8167257534359,President-Republican,Republican,NC
1,CRAVEN,21,1,13410,5225,99,8086,2024-03-06T03:28:02Z,3226.412123573208,3226.4121235732077,3226.412123573208,42.05322218611078,44.534743706584266,43.45332463008555,1646.342029269989,1570.8639610190507,1646.342029269989,President-Republican,Republican,NC
1,CUMBERLAND,77,1,16500,4618,124,11758,2024-03-06T03:28:02Z,3361.041274798616,3436.236350602169,3436.2363506021675,57.77795443427204,29.02537337287766,38.89427770665307,917.2262618061615,502.2716510488411,917.2262618061615,President-Republican,Republican,NC
1,CURRITUCK,0,0,0,0,0,0,2024-03-06T03:28:02Z,NA,NA,NA,10.392053921738437,18.942553486477767,19.86129468024911,782.6915051626498,700.1362798310971,782.6915051626498,President-Republican,Republican,NC
1,DARE,20,0.9090909090909091,5791,1486,62,4243,2024-03-06T03:28:02Z,NA,NA,NA,13.646926101107077,22.929253385539695,24.173746436493257,954.9779271274004,853.2130450542659,954.9779271274004,President-Republican,Republican,NC
1,DUPLIN,19,1,3873,1094,19,2760,2024-03-06T03:28:02Z,1022.020486116234,1022.0204861162341,1022.0204861162346,8.025853516115117,13.38068658548322,11.81691581536209,398.89663518231805,454.905046666116,398.89663518231805,President-Republican,Republican,NC
1,EDGECOMBE,23,0.8846153846153846,2556,626,12,1918,2024-03-06T03:28:02Z,NA,NA,NA,4.715667947305664,1.2646806758742168,0.7952685091120933,118.00443363849644,-3.389533101881106,118.00443363849644,President-Republican,Republican,NC
1,GATES,8,0.8888888888888888,1085,302,6,777,2024-03-06T03:28:02Z,NA,NA,NA,3.692351111697732,2.6854399216900724,2.230100587456035,101.61079091771121,91.35086246189034,101.61079091771121,President-Republican,Republican,NC
