state,race_id,race_name,party,cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo
NC,2572,President-Republican,Republican,1,BEAUFORT,0,0,2024-03-01T20:11:28Z,5702.135304618386,5741.930356830516,5748.366326878227,1305.6145838806494,1307.0987480113918,1333.6857128179001,3783.323994219847,3568.3268009288654,3783.323994219847
NC,2572,President-Republican,Republican,1,BERTIE,0,0,2024-03-01T20:11:28Z,833.8597257981654,844.6556282112678,834.3428779130479,231.3719203934076,27.444762944925674,121.65075791757597,493.3356886536502,361.2164117491622,493.3356886536502
NC,2572,President-Republican,Republican,1,BLADEN,0,0,2024-03-01T20:11:28Z,2749.795794985897,2749.7957949858974,2749.7957949858974,373.7593118588723,459.1587538546507,487.51532131267123,1537.1245525023762,1400.7676963292245,1537.1245525023762
NC,2572,President-Republican,Republican,1,BRUNSWICK,0,0,2024-03-01T20:11:28Z,18848.788242742954,20168.537793136078,20938.76066197296,5920.949679977069,5910.566477083594,6229.17009620794,15618.844588718901,14698.50040271238,15618.844588718901
NC,2572,President-Republican,Republican,1,CAMDEN,0,0,2024-03-01T20:11:28Z,1466.3123237269876,1226.3989754045497,1283.7716594774029,264.35820293506794,344.0123885220726,364.49502862432814,964.7352116472588,863.8605329202917,964.7352116472588
NC,2572,President-Republican,Republican,1,CARTERET,0,0,2024-03-01T20:11:28Z,12021.99208048477,11333.131173801434,11349.05402590999,3070.0149191047876,2976.6079502411844,3184.067927841997,7856.593019446377,7391.909656814056,7856.593019446377
NC,2572,President-Republican,Republican,1,CHOWAN,0,0,2024-03-01T20:11:28Z,1199.5819929097663,1199.5819929097663,1199.581992909766,222.1710201279801,296.2246617843098,320.66831304086594,963.8404256849908,871.3199008905442,963.8404256849908
NC,2572,President-Republican,Republican,1,COLUMBUS,0,0,2024-03-01T20:11:28Z,4463.518229424448,3972.0543884747713,3985.4197393464474,1329.4869612419127,958.9808159476037,990.5757703251467,2959.981539569041,2688.3685446099316,2959.981539569041
NC,2572,President-Republican,Republican,1,CRAVEN,0,0,2024-03-01T20:11:28Z,10531.419944355508,10531.41994435551,10531.419944355508,3000.553468647708,2841.49476427638,2971.773267592148,8079.415035683442,7760.067670566698,8079.415035683442
NC,2572,President-Republican,Republican,1,CUMBERLAND,0,0,2024-03-01T20:11:28Z,14976.368535445823,16333.41495679245,16110.781807266007,6024.05636451668,3180.991443427354,3532.6041576619186,11200.693698230345,10292.427153848408,11200.693698230345
NC,2572,President-Republican,Republican,1,CURRITUCK,0,0,2024-03-01T20:11:28Z,5064.178721159579,4971.959616271492,4949.169994841591,1186.5369997520686,1111.7930519358458,1202.595129110768,3010.12132066265,2840.486841332917,3010.12132066265
NC,2572,President-Republican,Republican,1,DARE,0,0,2024-03-01T20:11:28Z,3951.8751490392665,3976.6503547859948,3958.659072619138,1295.870070850054,1322.854256767474,1429.59262930609,3515.6819217767115,3305.0478526029624,3515.6819217767115
NC,2572,President-Republican,Republican,1,DUPLIN,0,0,2024-03-01T20:11:28Z,5405.6880425853615,5387.81679486644,5383.84506263461,1257.462318116839,895.8594216589547,863.3508572352551,2453.2164974655666,2490.342746840177,2453.2164974655666
NC,2572,President-Republican,Republican,1,EDGECOMBE,0,0,2024-03-01T20:11:28Z,2153.497086199153,2361.6063111940257,2365.8480734869713,878.6732129865271,300.39508348143477,472.51221105467744,1918.7713692752998,1587.0091381722157,1918.7713692752998
NC,2572,President-Republican,Republican,1,GATES,0,0,2024-03-01T20:11:28Z,741.1686726823159,741.1686726823158,741.1686726823158,182.0156912811418,182.98262380072464,199.73035086106484,611.96092226571,529.46867945262,611.96092226571
NC,2572,President-Republican,Republican,1,GREENE,0,0,2024-03-01T20:11:28Z,1349.5954604562448,1254.6329395512082,1260.1171067201094,251.40600087337322,214.15645841301355,222.4097928769257,703.5744660809515,627.051487248239,703.5744660809515
NC,2572,President-Republican,Republican,1,HALIFAX,0,0,2024-03-01T20:11:28Z,2292.9094836185222,2442.8557500334146,2460.186798221925,559.5367918864131,115.78688534174587,352.72114159864793,1343.9886042012402,1061.6862072254787,1343.9886042012402
NC,2572,President-Republican,Republican,1,HARNETT,0,0,2024-03-01T20:11:28Z,9019.006891468762,9019.006891468762,9019.006891468762,3207.556848276295,2935.4437955149488,2797.3097210561887,7299.863640022073,7473.783126329487,7299.863640022073
NC,2572,President-Republican,Republican,1,HERTFORD,0,0,2024-03-01T20:11:28Z,698.252657923965,662.0457602646676,658.4473739449625,184.39563892946703,4.641707062083737,112.56616647002315,476.3015935455894,331.4342543036579,476.3015935455894
NC,2572,President-Republican,Republican,1,HYDE,0,0,2024-03-01T20:11:28Z,452.93119765802703,468.05580128737853,471.1364368733617,26.576661901603877,65.93588877401035,73.46667239517899,206.40041992623358,181.09870655524907,206.40041992623358
NC,2572,President-Republican,Republican,1,JONES,0,0,2024-03-01T20:11:28Z,1115.6382427049693,1115.6382427049696,1115.6382427049696,177.42425752287235,230.70123004825783,221.70431543017017,672.5421548047508,616.2626682844274,672.5421548047508
NC,2572,President-Republican,Republican,1,LENOIR,0,0,2024-03-01T20:11:28Z,4236.959012174718,4204.353283410501,4179.113586957285,1161.6430437742495,838.6943261716871,866.9920561379153,2856.4198393566103,2696.3980234583955,2856.4198393566103
