cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,county_total_turnout,county_total_early,county_total_absentee,county_total_election_day,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo,race_name,party,state
1,BEAUFORT,17,0.6296296296296297,1830,905,31,894,2024-03-06T02:24:31Z,NA,NA,NA,11.779398590386423,14.689794547564302,16.653002665525904,446.2821800305424,506.522091778546,446.2821800305424,Governor-Democrat,Democrat,NC
1,BERTIE,3,0.1875,959,953,6,0,2024-03-06T02:24:31Z,NA,NA,NA,6.472238597504269,6.145892580795062,4.1784322523357975,479.9037573726309,384.37039492807907,479.9037573726309,Governor-Democrat,Democrat,NC
1,BLADEN,11,0.4782608695652174,1608,1190,12,406,2024-03-06T02:24:31Z,NA,NA,NA,9.4465872683524,11.052891785490933,12.111677736034444,482.2048848044927,467.8284018361979,482.2048848044927,Governor-Democrat,Democrat,NC
1,BRUNSWICK,27,1,5589,4507,224,858,2024-03-06T02:24:31Z,NA,164.72242866295645,164.7224286629566,31.23068311516742,59.52081188027259,53.918355810568116,891.796590375494,1192.7654356976584,891.796590375494,Governor-Democrat,Democrat,NC
1,CAMDEN,4,0.6666666666666666,176,0,2,174,2024-03-06T02:24:31Z,NA,NA,NA,1.4439117233586123,2.2205464999276807,2.5398591745956347,49.24061521361931,67.09724340948884,49.24061521361931,Governor-Democrat,Democrat,NC
1,CARTERET,25,0.9615384615384616,1443,1394,49,0,2024-03-06T02:24:31Z,1.3860779242812542,-1.8991752614994084e-14,-2.4136942444741294e-14,20.538608798588697,23.341100579371382,20.223687461285696,306.02996578395414,432.4977684318804,306.02996578395414,Governor-Democrat,Democrat,NC
1,CHOWAN,6,1,620,313,20,287,2024-03-06T02:24:31Z,95.2071645921766,95.20716459217661,95.2071645921766,7.149595421474012,4.545708158632602,4.996084911398708,164.91498387291122,180.20290848369712,164.91498387291122,Governor-Democrat,Democrat,NC
1,COLUMBUS,21,1,2256,1029,44,1183,2024-03-06T02:24:31Z,507.69119876665775,484.70831623114555,484.70831623114555,10.350869728711205,19.911594055826672,20.549445218761704,678.6446028853668,682.890818108423,678.6446028853668,Governor-Democrat,Democrat,NC
1,CRAVEN,21,1,5910,2895,81,2934,2024-03-06T02:24:31Z,813.8436237034634,813.8436237034634,813.8436237034635,33.702839996622046,31.18801167154795,35.24631920997371,838.5557084768126,954.0588469590008,838.5557084768126,Governor-Democrat,Democrat,NC
1,CUMBERLAND,77,1,17480,8933,186,8361,2024-03-06T02:24:31Z,3835.634283595684,3715.9213541657127,3715.9213541657127,83.33728780167236,102.77794802346823,121.75530731160283,4892.6215266527,4058.86757191401,4892.6215266527,Governor-Democrat,Democrat,NC
1,CURRITUCK,0,0,0,0,0,0,2024-03-06T02:24:31Z,NA,NA,NA,8.02538675697764,7.287632406518166,6.64948602416164,104.07694083145348,147.38841068444722,104.07694083145348,Governor-Democrat,Democrat,NC
1,DARE,15,0.6818181818181818,1634,741,28,865,2024-03-06T02:24:31Z,NA,NA,NA,15.686328552436857,19.509742925635873,15.479169856480526,218.34109447054854,324.5460795776247,218.34109447054854,Governor-Democrat,Democrat,NC
1,DUPLIN,19,1,1149,759,19,371,2024-03-06T02:24:31Z,150.1395118305489,150.1395118305489,150.13951183054897,8.31351436469767,15.17900932763553,17.542329545441724,510.3780207366539,499.57810666495783,510.3780207366539,Governor-Democrat,Democrat,NC
1,EDGECOMBE,14,0.5384615384615384,3607,2452,14,1141,2024-03-06T02:24:31Z,NA,NA,NA,12.429920328982165,15.459442440168349,11.604715585109297,1291.1834833382873,1034.5372644041495,1291.1834833382873,Governor-Democrat,Democrat,NC
1,GATES,2,0.2222222222222222,504,497,7,0,2024-03-06T02:24:31Z,NA,NA,NA,3.4169209296069454,4.2239228351862295,4.3013905687943135,153.72699334442828,158.22066019272967,153.72699334442828,Governor-Democrat,Democrat,NC
1,GREENE,10,1,1172,504,61,607,2024-03-06T02:24:31Z,273.13018421512044,273.1301842151205,273.1301842151205,4.3334932206827235,6.058040222686645,6.181820641774884,248.93766950764052,237.25693799334883,248.93766950764052,Governor-Democrat,Democrat,NC
1,HALIFAX,16,0.64,4331,2539,52,1740,2024-03-06T02:24:31Z,NA,NA,NA,16.1802531953462,18.948785954536874,15.216177122210148,1200.6918178000085,965.0017323220416,1200.6918178000085,Governor-Democrat,Democrat,NC
1,HARNETT,13,1,5125,2182,107,2836,2024-03-06T02:24:31Z,821.1730503394274,821.1730503394275,821.1730503394275,30.672777620038506,38.63107283339318,44.44407308328682,1041.9105803634877,1057.546142004686,1041.9105803634877,Governor-Democrat,Democrat,NC
1,HERTFORD,13,1,2052,942,0,1110,2024-03-06T02:24:31Z,720.488885954945,720.488885954945,720.488885954945,9.018238833662824,6.813077494324952,3.918076448788578,566.0073956383867,438.9602057877659,566.0073956383867,Governor-Democrat,Democrat,NC
1,HYDE,0,0,0,0,0,0,2024-03-06T02:24:31Z,NA,NA,NA,1.2157548230796702,2.4774297198780717,2.1701150517336885,54.39125142658802,64.56426422164263,54.39125142658802,Governor-Democrat,Democrat,NC
1,JONES,9,0.9,630,203,2,425,2024-03-06T02:24:31Z,NA,NA,NA,2.515206204111626,2.924749246722277,3.5932608722039934,124.26039668580667,129.79252616615966,124.26039668580667,Governor-Democrat,Democrat,NC
1,LENOIR,22,1,1633,1612,21,0,2024-03-06T02:24:31Z,-5.745404152435185e-15,-2.315508895733842e-14,4.2299497238218464e-14,11.096148061835224,16.381023972003433,19.042470299785094,878.474328226011,806.5325299383103,878.474328226011,Governor-Democrat,Democrat,NC
1,MARTIN,11,0.9166666666666666,1934,684,21,1229,2024-03-06T02:24:31Z,NA,NA,NA,4.787953784559644,8.15916998462794,7.8370898408932055,416.2371627484999,392.5998928272871,416.2371627484999,Governor-Democrat,Democrat,NC
1,NASH,27,0.9,7740,3794,63,3883,2024-03-06T02:24:31Z,NA,NA,NA,23.454388361268354,28.21407020706662,32.21210270449076,1493.5187812256393,1374.9176266046345,1493.5187812256393,Governor-Democrat,Democrat,NC
1,NEW HANOVER,42,0.875,7228,6976,252,0,2024-03-06T02:24:31Z,NA,NA,NA,91.83761448235042,108.33098970220475,100.42534797194642,1838.2704776377304,2219.5664739450626,1838.2704776377304,Governor-Democrat,Democrat,NC
1,NORTHAMPTON,11,0.6111111111111112,2025,1503,14,508,2024-03-06T02:24:31Z,NA,NA,NA,6.23026982960106,6.486668398229542,4.22306471949261,486.1514656004393,400.53964612440967,486.1514656004393,Governor-Democrat,Democrat,NC
1,ONSLOW,24,1,2128,2036,92,0,2024-03-06T02:24:31Z,-5.218048215738236e-15,-2.0480145357382185e-14,2.014013955609073e-14,28.356451991966257,41.46140137524975,47.83433735760665,969.029458414448,1061.7831778130044,969.029458414448,Governor-Democrat,Democrat,NC
1,PAMLICO,6,1,965,388,12,565,2024-03-06T02:24:31Z,161.79625348239807,156.9004578003422,156.9004578003422,12.011835605188452,4.919684990619593,5.055547853435036,109.94896810488183,137.36054386245416,109.94896810488183,Governor-Democrat,Democrat,NC
1,PASQUOTANK,9,0.6923076923076923,1979,1153,26,800,2024-03-06T02:24:31Z,NA,NA,NA,9.525855301034774,11.800853864138087,13.845533942729702,527.098289386128,518.6226017595727,527.098289386128,Governor-Democrat,Democrat,NC
1,PENDER,0,0,0,0,0,0,2024-03-06T02:24:31Z,0.10871057438864071,3.872596687770624e-14,-6.036837696399289e-15,19.030557139953412,18.940836904011235,20.476878879831915,397.9184883820221,494.73427448019675,397.9184883820221,Governor-Democrat,Democrat,NC
1,PERQUIMANS,0,0,0,0,0,0,2024-03-06T02:24:31Z,NA,NA,NA,3.031034232281134,4.106811937540237,4.522418392444783,115.41951072946516,139.29703878218302,115.41951072946516,Governor-Democrat,Democrat,NC
1,PITT,45,0.9574468085106383,9926,4711,83,5132,2024-03-06T02:24:31Z,NA,NA,NA,44.40967050810051,57.90238898107834,66.82867266527671,2406.59042229761,2287.438214723529,2406.59042229761,Governor-Democrat,Democrat,NC
1,ROBESON,25,0.5319148936170213,1807,0,0,1807,2024-03-06T02:24:31Z,NA,NA,NA,26.347881366209432,77.29905455030801,89.69621430829149,1973.151901299745,1257.5707674390135,1973.151901299745,Governor-Democrat,Democrat,NC
1,SAMPSON,9,0.3,1570,1261,14,295,2024-03-06T02:24:31Z,NA,NA,NA,8.102108452236594,16.193313740707637,20.33398182064223,592.3662746058002,582.639624395985,592.3662746058002,Governor-Democrat,Democrat,NC
1,TYRRELL,1,0.1,71,71,0,0,2024-03-06T02:24:31Z,NA,NA,NA,0.5806991487875305,1.4071354324976835,1.4197100273895928,46.284998972096034,48.0065195253327,46.284998972096034,Governor-Democrat,Democrat,NC
1,WASHINGTON,0,0,0,0,0,0,2024-03-06T02:24:31Z,4.218847493575595e-15,4.298644773470528e-15,-2.55351295663786e-15,3.4679386725606265,4.68627271446489,3.82417932082658,266.494816235965,233.90956638710483,266.494816235965,Governor-Democrat,Democrat,NC
1,WAYNE,28,1,5825,3052,84,2689,2024-03-06T02:24:31Z,1075.9219472869022,1075.921947286902,1075.9219472869024,26.29475342119601,31.288037132768054,37.80542354959288,1319.1998076844584,1272.8547402345068,1319.1998076844584,Governor-Democrat,Democrat,NC
1,WILSON,24,1,3661,2470,0,1191,2024-03-06T02:24:31Z,666.2349973893757,666.2349973893758,666.2349973893757,15.607438595174104,24.58013326434713,27.030837473236613,1284.5577675057496,1161.984742174556,1284.5577675057496,Governor-Democrat,Democrat,NC
2,CHATHAM,18,1,6637,5590,291,756,2024-03-06T02:24:31Z,198.70103348632492,269.2097907515244,269.20979075152434,79.55075556784055,47.52331601154926,43.69055810064679,759.5870450318797,873.1703249883137,759.5870450318797,Governor-Democrat,Democrat,NC
2,DURHAM,19,0.2753623188405797,28760,24228,627,3905,2024-03-06T02:24:31Z,NA,NA,NA,212.34917380063297,216.08280386891218,204.0917184223352,6331.335656788559,5458.205111601738,6331.335656788559,Governor-Democrat,Democrat,NC
2,FRANKLIN,18,1,2996,2903,93,0,2024-03-06T02:24:31Z,3.547162563677375e-14,9.298117831235686e-15,2.0414225865295066e-14,32.95793912897609,23.346923943065992,27.158814982271622,734.869070122151,773.281980423051,734.869070122151,Governor-Democrat,Democrat,NC
2,GRANVILLE,0,0,0,0,0,0,2024-03-06T02:24:31Z,-9.006684287271582e-15,4.85722573273506e-15,-3.81084053202585e-14,14.387511978397697,20.816675412725385,23.85485715064099,748.7769279580756,736.2278105525854,748.7769279580756,Governor-Democrat,Democrat,NC
2,JOHNSTON,4,0.09090909090909091,547,0,211,336,2024-03-06T02:24:31Z,NA,NA,NA,54.27267519296593,67.5039834342205,73.04012293906376,1560.5642178011765,1679.2910598219519,1560.5642178011765,Governor-Democrat,Democrat,NC
2,ORANGE,36,0.7346938775510204,19945,10251,351,9343,2024-03-06T02:24:31Z,NA,NA,NA,181.07797524221775,127.41841133760144,115.37194973846992,1996.8549282086167,2147.7319523434685,1996.8549282086167,Governor-Democrat,Democrat,NC
2,PERSON,11,1,2370,1121,49,1200,2024-03-06T02:24:31Z,408.1709520208448,414.9008292406226,414.9008292406226,9.563325634190274,12.56541474892137,14.047083997486185,414.3291613546063,446.6311681748798,414.3291613546063,Governor-Democrat,Democrat,NC
2,VANCE,12,1,3165,1384,31,1750,2024-03-06T02:24:31Z,992.4872938650219,992.4872938650219,992.487293865022,12.285918632929537,15.916795942816652,13.06152381529246,951.1784839978958,783.1581943733526,951.1784839978958,Governor-Democrat,Democrat,NC
2,WAKE,14,0.06140350877192982,39787,37656,2131,0,2024-03-06T02:24:31Z,NA,NA,NA,701.7115291050065,549.1414326594555,549.925440940172,11750.773274496105,11554.82818159815,11750.773274496105,Governor-Democrat,Democrat,NC
2,WARREN,14,1,2385,1219,15,1151,2024-03-06T02:24:31Z,712.3500372726505,712.3500372726504,712.3500372726504,7.177671539677429,8.47882290861829,7.060477714495176,457.7545988826938,374.312762936535,457.7545988826938,Governor-Democrat,Democrat,NC
3,CABARRUS,23,0.5348837209302325,5903,2028,255,3620,2024-03-06T02:24:31Z,NA,NA,NA,85.09211762301723,70.75257619717556,76.50844276512996,1790.222083846238,1821.2773205462656,1790.222083846238,Governor-Democrat,Democrat,NC
3,GASTON,46,0.8679245283018868,6975,3035,173,3767,2024-03-06T02:24:31Z,NA,NA,NA,53.65310836722943,65.66717766435127,70.2553709600097,1574.0158796973149,1771.6789002334883,1574.0158796973149,Governor-Democrat,Democrat,NC
