cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,county_total_turnout,county_total_early,county_total_absentee,county_total_election_day,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo,race_name,party,state
1,BEAUFORT,0,0,0,0,0,0,2024-03-06T01:05:35Z,5.659535340374333e-17,1.8301332671555315e-16,1.431146867680866e-17,9.884802319990168,10.528869758473855,11.621386928092223,77.23631914043715,79.78209659520097,77.23631914043715,Governor-Democrat,Democrat,NC
1,BERTIE,0,0,0,0,0,0,2024-03-06T01:05:35Z,1.8648277366750676e-17,-4.2413988987632933e-16,5.2583805365546965e-17,5.45837994552517,3.394891286889596,1.9198576089874992,20.107639320839294,41.49504408044442,20.107639320839294,Governor-Democrat,Democrat,NC
1,BLADEN,0,0,0,0,0,0,2024-03-06T01:05:35Z,-6.01732205729455e-17,2.699663409488906e-17,-7.042977312465837e-16,7.9443891753431135,7.709713246631902,8.59015363924993,53.48345834989242,59.37531902430201,53.48345834989242,Governor-Democrat,Democrat,NC
1,BRUNSWICK,26,0.9629629629629629,224,0,224,0,2024-03-06T01:05:35Z,NA,-1.863743534502582e-16,-1.0083080204115191e-15,26.187258887028996,46.559533174839295,39.386172974039866,247.5878277881479,301.0296807305099,247.5878277881479,Governor-Democrat,Democrat,NC
1,CAMDEN,0,0,0,0,0,0,2024-03-06T01:05:35Z,0,-2.1033522146218786e-17,-1.5135462327897642e-16,1.2132137046972558,1.5334386083578229,1.7057936568829324,12.367926673736285,13.434744444101375,12.367926673736285,Governor-Democrat,Democrat,NC
1,CARTERET,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.00795680305576899,1.0234868508263162e-16,-1.5375071008016938e-15,17.103989926720214,17.933539500805015,14.634343933670825,93.95553340711591,124.90273642102385,93.95553340711591,Governor-Democrat,Democrat,NC
1,CHOWAN,0,0,0,0,0,0,2024-03-06T01:05:35Z,-2.3418766925686896e-17,9.71445146547012e-17,-4.0158848468863084e-16,5.9582598566346965,2.904950773990707,3.198308224271156,24.319017072069375,29.249502892240848,24.319017072069375,Governor-Democrat,Democrat,NC
1,COLUMBUS,15,0.7142857142857143,44,0,44,0,2024-03-06T01:05:35Z,-2.2733381953511103e-4,3.209238430557093e-17,-3.3046482217358175e-16,8.762926114730059,14.990336102880637,15.054238659525083,89.92518151764762,96.79760841192038,89.92518151764762,Governor-Democrat,Democrat,NC
1,CRAVEN,17,0.8095238095238095,81,0,81,0,2024-03-06T01:05:35Z,1.951563910473908e-16,-4.172009959724221e-16,3.950832716537178e-16,28.133469879259724,23.776203665287486,26.631291557303044,153.97143489306865,152.2743229647816,153.97143489306865,Governor-Democrat,Democrat,NC
1,CUMBERLAND,63,0.8181818181818182,186,0,186,0,2024-03-06T01:05:35Z,-0.052563994631666375,2.347677174191487e-15,-1.0230965380442214e-14,70.12340986465823,89.16260021957288,115.28931032709002,383.25904952254217,285.7826758006024,383.25904952254217,Governor-Democrat,Democrat,NC
1,CURRITUCK,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.018676480469418177,3.903127820947816e-17,-2.957703526540456e-16,6.675543589941882,5.595386723820608,4.696598456599178,31.46148516297101,38.48160476928638,31.46148516297101,Governor-Democrat,Democrat,NC
1,DARE,1,0.0625,221,0,0,221,2024-03-06T01:05:35Z,62.63392689784442,62.63392689784442,62.63392689784442,13.062255216010751,14.859461110969852,10.835243562409898,74.05577927061663,108.21878732190852,74.05577927061663,Governor-Democrat,Democrat,NC
1,DUPLIN,0,0,0,0,0,0,2024-03-06T01:05:35Z,4.7921736023859296e-17,-1.5504091066542713e-16,-1.4246416546459528e-15,7.027390658513522,12.780852939150778,14.542601510951599,68.62987482530357,53.08681841028778,68.62987482530357,Governor-Democrat,Democrat,NC
1,EDGECOMBE,0,0,0,0,0,0,2024-03-06T01:05:35Z,-2.99781900692242e-17,9.71445146547012e-17,8.118505867571457e-16,10.569639395548345,8.138051829440542,5.974822373989545,52.9441580367282,107.64276105675049,52.9441580367282,Governor-Democrat,Democrat,NC
1,GATES,0,0,0,0,0,0,2024-03-06T01:05:35Z,2.8189256484623115e-18,3.0357660829594124e-17,1.8908485888147197e-16,2.870356539353766,2.9286012233793706,2.8451698718850706,20.30484067569598,23.936658754767297,20.30484067569598,Governor-Democrat,Democrat,NC
1,GREENE,9,0.9,61,0,61,0,2024-03-06T01:05:35Z,-6.69494841509799e-17,1.3010426069826053e-18,2.0350474777552918e-16,3.652120413493214,4.386019244460478,4.4347337111616705,26.995594623774736,30.870334884041593,26.995594623774736,Governor-Democrat,Democrat,NC
1,HALIFAX,0,0,0,0,0,0,2024-03-06T01:05:35Z,-0.010278232229140954,1.4777675610977425e-16,2.0816681711721685e-15,13.656917899143474,13.548311421538848,10.137327532928406,63.287936341616565,88.86103718685413,63.287936341616565,Governor-Democrat,Democrat,NC
1,HARNETT,13,1,2289,2182,107,0,2024-03-06T01:05:35Z,8.586881206085195e-17,3.0270924655795284e-16,-1.4641066137244252e-15,25.682332703717275,34.02788438450894,38.68288696425691,167.21822095608155,121.07903062273878,167.21822095608155,Governor-Democrat,Democrat,NC
1,HERTFORD,10,0.7692307692307693,230,230,0,0,2024-03-06T01:05:35Z,-6.938893903907228e-18,-5.108760636751697e-16,-5.162970745375972e-16,7.576883613041921,3.78835177788296,1.4980450237553347,19.02119127032938,44.99837200577526,19.02119127032938,Governor-Democrat,Democrat,NC
